Strain,Species
DTO 003-E9,Penicillium aurantiogriseum
DTO 099-I2,Penicillium aurantiogriseum
DTO 457-A6,Penicillium aurantiogriseum
DTO 469-I5,Penicillium aurantiogriseum
DTO 470-H9,Penicillium aurantiogriseum
DTO 473-D6,Penicillium aurantiogriseum
DTO 105-G7,Penicillium cyclopium
DTO 108-F3,Penicillium cyclopium
DTO 148-B6,Penicillium cyclopium
DTO 148-C8,Penicillium cyclopium
DTO 162-C6,Penicillium freii
DTO 469-I4,Penicillium freii
DTO 470-A1,Penicillium freii
DTO 470-A2,Penicillium freii
DTO 148-B5,Penicillium melanoconidium
DTO 148-D2,Penicillium melanoconidium
DTO 158-D1,Penicillium melanoconidium
DTO 216-I7,Penicillium melanoconidium
DTO 470-H3,Penicillium melanoconidium
DTO 206-F5,Penicillium neoechinulatum
DTO 217-D9,Penicillium neoechinulatum
DTO 251-A1,Penicillium neoechinulatum
DTO 470-F3,Penicillium neoechinulatum
DTO 118-C4,Penicillium polonicum
DTO 148-B9,Penicillium polonicum
DTO 148-C9,Penicillium polonicum
DTO 148-D1,Penicillium polonicum
DTO 157-A3,Penicillium polonicum
DTO 217-D6,Penicillium polonicum
DTO 248-G3,Penicillium polonicum
DTO 402-I8,Penicillium polonicum
DTO 469-G8,Penicillium polonicum
DTO 027-D1,Penicillium tricolor
DTO 157-A4,Penicillium tricolor
DTO 470-I9,Penicillium tricolor
DTO 472-B6,Penicillium tricolor
DTO 148-C3,Penicillium viridicatum
DTO 148-D3,Penicillium viridicatum
DTO 163-I2,Penicillium viridicatum
DTO 470-F1,Penicillium viridicatum
DTO 478-C6,Penicillium viridicatum
